Timestamp,ForceN,PositionZ,StoppedByForceSensor
2026-03-18T10:45:27.939,,,0
2026-03-18T10:45:28.773,,,0
2026-03-18T10:45:28.889,,25.0019,0
2026-03-18T10:45:28.993,,25.0019,0
2026-03-18T10:45:28.097,,25.0019,0
2026-03-18T10:45:29.205,,25.0019,0
2026-03-18T10:45:29.320,,25.0019,0
2026-03-18T10:45:29.420,,25.0019,0
2026-03-18T10:45:29.523,,25.0019,0
2026-03-18T10:45:29.661,,25.0019,0
2026-03-18T10:45:29.771,,25.0019,0
2026-03-18T10:45:29.872,,25.0019,0
2026-03-18T10:45:29.972,,25.0019,0
2026-03-18T10:45:29.086,,25.0019,0
2026-03-18T10:45:30.204,,25.0019,0
2026-03-18T10:45:30.304,,25.0019,0
2026-03-18T10:45:30.420,,25.0019,0
2026-03-18T10:45:30.521,,25.0019,0
2026-03-18T10:45:30.623,,25.0019,0
2026-03-18T10:45:30.726,,25.0019,0
2026-03-18T10:45:30.844,,25.0019,0
2026-03-18T10:45:30.028,,25.0019,0
2026-03-18T10:45:30.139,,25.0019,0
2026-03-18T10:45:31.254,,25.0019,0
2026-03-18T10:45:31.355,,25.0019,0
2026-03-18T10:45:31.470,,25.0019,0
2026-03-18T10:45:31.585,,25.0019,0
2026-03-18T10:45:31.689,,25.0019,0
2026-03-18T10:45:31.790,-0.009810001,25.0019,0
2026-03-18T10:45:31.891,-0.009810001,25.0019,0
2026-03-18T10:45:31.002,-0.0,25.0019,0
2026-03-18T10:45:31.102,-0.0,25.0019,0
2026-03-18T10:45:32.204,-0.009810001,25.0019,0
2026-03-18T10:45:32.304,-0.0,25.0019,0
2026-03-18T10:45:32.418,-0.009810001,25.0019,0
2026-03-18T10:45:32.519,-0.0,25.0019,0
2026-03-18T10:45:32.628,0.0,25.0019,0
2026-03-18T10:45:32.742,-0.009810001,25.0019,0
2026-03-18T10:45:32.853,-0.0,25.0019,0
2026-03-18T10:45:32.962,-0.0,25.0019,0
2026-03-18T10:45:32.070,0.0,25.0019,0
2026-03-18T10:45:32.169,-0.019620001,25.0019,0
2026-03-18T10:45:33.273,-0.019620001,25.0019,0
2026-03-18T10:45:33.375,-0.0,25.0019,0
2026-03-18T10:45:33.476,-0.009810001,25.0019,0
2026-03-18T10:45:33.584,-0.0,25.0019,0
2026-03-18T10:45:33.687,-0.009810001,25.0019,0
2026-03-18T10:45:33.788,0.0,25.0019,0
2026-03-18T10:45:33.902,0.0,25.0019,0
2026-03-18T10:45:33.017,-0.009810001,25.0019,0
2026-03-18T10:45:33.118,-0.0,25.0019,0
2026-03-18T10:45:34.222,0.0,25.0019,0
2026-03-18T10:45:34.334,0.0,25.0019,0
2026-03-18T10:45:34.451,0.0,25.0019,0
2026-03-18T10:45:34.553,0.0,25.0019,0
2026-03-18T10:45:34.656,-0.0,25.0019,0
2026-03-18T10:45:34.755,0.0,25.0019,0
2026-03-18T10:45:34.869,0.0,25.0019,0
2026-03-18T10:45:34.985,-0.0,25.0019,0
2026-03-18T10:45:34.101,-0.0,25.0019,0
2026-03-18T10:45:35.202,0.0,25.0019,0
2026-03-18T10:45:35.318,-0.0,25.0019,0
2026-03-18T10:45:35.434,-0.009810001,25.0019,0
2026-03-18T10:45:35.535,-0.0,25.0019,0
2026-03-18T10:45:35.653,-0.009810001,25.0019,0
2026-03-18T10:45:35.755,-0.009810001,25.0019,0
2026-03-18T10:45:35.856,0.0,25.0019,0
2026-03-18T10:45:35.966,0.0,25.0019,0
2026-03-18T10:45:35.066,0.0,25.0019,0
2026-03-18T10:45:35.167,-0.0,25.0019,0
2026-03-18T10:45:36.267,0.0,25.0019,0
2026-03-18T10:45:36.367,-0.0,25.0019,0
2026-03-18T10:45:36.483,-0.009810001,25.0019,0
2026-03-18T10:45:36.583,0.0,25.0019,0
2026-03-18T10:45:36.685,-0.0,25.0019,0
2026-03-18T10:45:36.785,0.009810001,25.0019,0
2026-03-18T10:45:36.900,0.009810001,25.0019,0
2026-03-18T10:45:36.000,0.009810001,25.0019,0
